reference,title,closed_at,cves,risks,summary,first_revision,affected_systems
CERTFR-2021-ALE-001,|MàJ] Vulnérabilité dans SonicWall SMA100,2021-05-12,CVE-2021-20016; CVE-2014-6271,Exécution de code arbitraire à distance,"\[Mise à jour du 30 avril 2021\]

Le 29 avril 2021, dans un billet de blogue (cf. section Documentation),
FireEye fait état de l'exploitation de la vulnérabilité CVE202120016
par un groupe criminel dans le but de déployer plusieurs rançongiciels à
l'encontre de différentes entités en Europe et en Amérique du Nord.

\[Mise à jour du 22 février 2021\]

Le 19 février 2021, SonicWall a publié un nouveau correctif pour les
versions 10.x, mais aussi pour les versions 9.x non concernées par la
vulnérabilité CVE202120016 (cf. section Documentation).

Dans son communiqué, SonicWall indique que ce correctif contient, sans
les préciser, des mesures de durcissement du code et invite ses clients
à l'installer immédiatement.

\[Mise à jour du 04 février 2021\]

Le 03 février 2021, SonicWall a publié un correctif pour la
vulnérabilité qui porte désormais l'identifiant CVE202120016. Cette
vulnérabilité permet à un attaquant non authentifié d'obtenir les
informations de connexions, y compris celles des comptes
administrateurs. L'attaquant peut alors prendre complètement la main sur
l'équipement.

Cette nouvelle précision confirme qu'il est obligatoire de changer tous
les mots de passe une fois le correctif appliqué.

\[Publication initiale\]

Le 01 février 2021, SonicWall a confirmé l'existence d'une vulnérabilité
de type 0 jour dans leurs passerelles d'accès sécurisé SMA séries 100.
Celleci affecte uniquement les versions 10.x.

Les risques liés à cette vulnérabilité ne sont pas précisés, ma",2021-02-02T01:00:00.000000,"Sonicwall Secure Mobile Access – SMA 200, SMA 210, SMA 400 et SMA 410 versions 10.x antérieures à 10.2.0.6-32sv | Sonicwall Secure Mobile Access – SMA 200, SMA 210, SMA 400 et SMA 410 versions 9.x antérieures à 9.0.0.10-28sv | Sonicwall Secure Mobile Access – SMA 500v (Azure, AWS, ESXi, HyperV) versions 10.x antérieures à 10.2.0.6-32sv | Sonicwall Secure Mobile Access – SMA 500v (Azure, AWS, ESXi, HyperV) versions 9.x antérieures à 9.0.0.10-28sv"
CERTFR-2021-ALE-002,[MàJ] Vulnérabilité dans Google Chrome et Microsoft Edge,2021-03-11,CVE-2021-21148,Non spécifié par l'éditeur,"\[Mise à jour du 08 février 2021\]

Le navigateur Microsoft Edge
disposant d'une version basée sur Chromium, l'éditeur a publié une mise
à jour pour cette version afin de fixer cette
vulnérabilité.

\[Version originale\]

Le 04 février 2021, Google a publié un correctif pour la vulnérabilité
CVE202121148 affectant son navigateur Chrome. Cette vulnérabilité
permet un débordement de tampon dans le tas.

Google indique avoir connaissance de l'existence d'un code d'attaque
exploitant cette vulnérabilité.

Le CERTFR recommande donc l'application de la mise à jour dans les plus
brefs délais.",2021-02-05T01:00:00.000000,Microsoft Edge – Microsoft Edge (Chromium-based) versions antérieures à 88.0.705.63 | Google Chrome – Google Chrome versions antérieures à 88.0.4324.150
CERTFR-2021-ALE-003,[MàJ] Vulnérabilité dans VMware vCenter Server,2021-05-12,CVE-2021-21972,Exécution de code arbitraire à distance,"\[version du 26 février 2021\]

Le CERTFR a connaissance d'attaques en cours ciblant des serveurs
vCenter exposés sur Internet. Il est urgent de procéder soit à
l'application du contournement pour désactiver le greffon vulnérable
soit de déployer les versions corrigeant la vulnérabilité.

\[version initiale\]

Le 23 février 2021, VMware a publié un avis de sécurité concernant trois
vulnérabilités (cf. section documentation). La
vulnérabilité CVE202121972 est la plus critique. Elle permet une
exécution de code arbitraire à distance par un attaquant non
authentifié.

Cette vulnérabilité affecte un greffon de vCenter Server permettant la
communication entre vCenter Server et la solution
VMware vRealize Operations (vROPs). Ce greffon vulnérable est présent
dans toutes les installations par défaut de vCenter. VMware précise que
l'exploitation de la vulnérabilité est possible même si la solution
vRealize Operations n'est pas utilisée.

Des preuves de concept sont disponibles publiquement et le CERTFR a
connaissance de campagnes de détection de la
vulnérabilité CVE202121972, il est donc urgent d'appliquer le
correctif de sécurité.

De plus, le CERTFR a constaté la présence d'instances de vCenter
directement accessibles sur internet. Ceci est contraire aux bonnes
pratiques.

Pour rappel, ce type de services ne doit jamais être exposé sur
internet. Lorsque cela se révèle absolument nécessaire, il est fortement
recommandé de recourir à des solutions d'accès sécurisés à distance.

Ainsi",2021-02-25T01:00:00.000000,VMware vCenter Server – Cloud Foundation (vCenter Server) versions 4.x antérieures à 4.2 | VMware vCenter Server – vCenter Server versions 6.5 antérieures à 6.5 U3n | VMware vCenter Server – Cloud Foundation (vCenter Server) versions 3.x antérieures à 3.10.1.2 | VMware vCenter Server – vCenter Server versions 7.0 antérieures à 7.0 U1c | VMware vCenter Server – vCenter Server versions 6.7 antérieures à 6.7 U3l
CERTFR-2021-ALE-004,[MàJ] Multiples vulnérabilités dans Microsoft Exchange Server,2021-07-16,CVE-2021-26858; CVE-2021-27078; CVE-2021-26857; CVE-2021-26855; CVE-2021-27065; CVE-2021-26412; CVE-2021-26854,Exécution de code arbitraire à distance,"\[version du 16 mars 2021\]

le 15 mars 2021, Microsoft a publié un nouvel outil dont le but annoncé
est d'aider leurs clients à se protéger de l'exploitation de la
vulnérabilité CVE202126855 affectant les serveurs de courrier Exchange
en attendant l'application des mises à jour
[(https://msrcblog.microsoft.com/2021/03/15/oneclickmicrosoftexchangeonpremisesmitigationtoolmarch2021/).](https://msrcblog.microsoft.com/2021/03/15/oneclickmicrosoftexchangeonpremisesmitigationtoolmarch2021/)

Les détails de cet outil sont développés dans la section ""Contournement
provisoire"".

Le CERTFR souhaite cependant insister sur plusieurs points:

   Cet outil ne protège que contre une exploitation future de la
    vulnérabilité CVE202126855, en attendant l'application de la mise
    à jour fournie le 2 mars 2021 ;
   Les vulnérabilités ayant été exploitées avant la publication des
    correctifs, puis de façon massive, tous les serveurs Exchange
    doivent être considérés comme compromis. L'utilisation de cet outil
    ne remplace pas l'étape de recherche de compromission (voir les
    recommandations de cette alerte) ;
   De plus en plus de codes d'exploitation sont publiquement
    disponibles. L'outil de Microsoft tente d'annuler certaines
    modifications malveillantes réalisées lors de l'exploitation de la
    vulnérabilité CVE202126855, mais cela ne fonctionne que pour une
    partie des codes d'exploitation connus.

\[version du 9 mars 2021\]

Le CERTFR recommande fortement de toujou",2021-03-03T01:00:00.000000,
CERTFR-2021-ALE-005,Multiples vulnérabilités dans Microsoft DNS server,2021-05-12,CVE-2021-26893; CVE-2021-26897; CVE-2021-26894; CVE-2021-26877; CVE-2021-26895,Exécution de code arbitraire à distance,"Contexte

Sept vulnérabilités concernant le serveur DNS de Microsoft ont fait
l’objet d’un correctif à l’occasion de la mise à jour mensuelle de mars
2021. Parmi ces vulnérabilités, deux permettent un déni de service alors
que les cinq autres permettent une exécution de code arbitraire à
distance. Ces vulnérabilités, identifiées par CVE202126877,
CVE202126897, CVE202126893, CVE202126894 et CVE202126895 sont
considérées comme critiques.

 

 Nature et impact des vulnérabilités

Toutes les vulnérabilités affectent le mécanisme de Dynamic Zone
Update du serveur DNS de Microsoft.

Ce mécanisme existe en mode sécurisé (dans ce mode, les demandes de mise
à jour d'enregistrement DNS doivent être authentifiées et autorisées
pour être acceptées) ou nonsécurisé (dans ce cas, le serveur DNS
accepte toutes les demandes de mise à jour d'un enregistrement DNS).

 

Le mécanisme est configuré différemment suivant les installations :

   Lorsque la zone DNS est intégrée à Active Directory, le mode
    sécurisé est activé par défaut ;
   Lorsque la zone DNS n’est pas intégrée à Active Directory mais
    stockée localement sur le serveur DNS, le mécanisme Dynamic Zone
    Update n’est pas activé par défaut. S’il est activé, il ne sera
    disponible que dans le mode nonsécurisé (non recommandé).

 

Les impacts des vulnérabilités sont les suivants :

   Si le mode nonsécurisé est activé, l’attaquant peut anonymement
    forger une requête spécifiquement conçue pour exploiter ces
    vulnérabil",2021-03-12T01:00:00.000000,
CERTFR-2021-ALE-006,[MàJ] Vulnérabilité dans F5 BIG-IP,2021-04-15,CVE-2021-22986,Exécution de code arbitraire à distance,"\[mise à jour du 22 mars 2021\]

Un nouveau vecteur d'attaque a été publié qui ne requiert plus
d'exploiter une SSRF et de nouveaux codes d'attaques sont désormais
disponibles. Toute requête HTTP de type POST reçue par l'API REST
iControl serait par conséquent potentiellement malveillante.

\[version originale\]

Dans son bulletin d'actualité du 15 mars 2021, le CERTFR soulignait la
gravité de plusieurs vulnérabilités affectant les équipements BIGIP
de F5 Networks, et notamment la CVE202122986.

Le 19 mars 2021, l'éditeur indique que des attaques massives sont en
cours, attaques également détectées par des sources telles que \[1\].

La vulnérabilité CVE202122986 est une vulnérabilité de type 'SSRF'
(Server Side Request Forgery) qui permet à un attaquant non
authentifié ayant un accès à l'API REST iControl de provoquer une
exécution de code arbitraire à distance.

Cette API permet l'automatisation de certaines tâches
d'administration. Elle est accessible depuis l'interface
d'administration de l'équipement mais également depuis les adresses IP
dénommées selfIPs qui peuvent être configurées via le menu Network /
SelfIPs dans les différents VLANs auxquels ces équipements sont
connectés.",2021-03-22T01:00:00.000000,F5 BIG-IP – BIG-IP versions 16.x antérieures à 16.0.1.1 | F5 BIG-IP – BIG-IP versions 13.x antérieures à 13.1.3.6 | F5 BIG-IP – BIG-IP versions 12.x antérieures à 12.1.5.3 | F5 BIG-IP – BIG-IP versions 15.x antérieures à 15.1.2.1 | F5 BIG-IP – BIG-IP versions 14.x antérieures à 14.1.4
CERTFR-2021-ALE-007,[MàJ] Vulnérabilité dans Pulse Connect Secure,2021-06-21,CVE-2021-22893; CVE-2021-22894; CVE-2021-22899; CVE-2021-22900,Exécution de code arbitraire à distance,"\[version du 3 mai 2021\]

L'éditeur a publié le correctif pour la vulnérabilité CVE202122893,
ainsi que les vulnérabilités CVE202122894, CVE202122899 et
CVE202122900 avec un score CVSSv3 respectivement de 9.9, 9.9 et 7.2.

Si des mesures de contournement ont été appliquées, elles doivent être
retirées en important le fichier removeworkaround2104.xml, et les
paramètres ""Files,
Windows"" et ""Meetings"" doivent être
restaurés avant l'application du correctif (cf. bulletin de sécurité de
l'éditeur).

\[version du 20 avril 2021\]

Le 20 avril 2021, Pulse Secure a publié un bulletin de sécurité
concernant la vulnérabilité CVE202122893 (cf. section Documentation).
Celleci permet à un attaquant non authentifié d'exécuter du code
arbitraire à distance. Aucun correctif n'est pour l’instant disponible.

Le même jour, FireEye a publié un billet de blogue (cf. section
Documentation) expliquant que cette vulnérabilité est activement
exploitée dans le cadre d'attaques ciblées. Au cours d'une exploitation,
les attaquants modifient certains fichiers pour déposer des portes
dérobées et effacer leurs traces.

Pulse Secure a publié un outil qui tente de détecter ces
modifications (cf. section Documentation).",2021-04-20T02:00:00.000000,N/A N/A – Pulse Connect Secure versions 9.1RX | N/A N/A – Pulse Connect Secure versions 9.0R3 et ultérieures
CERTFR-2021-ALE-008,Multiples vulnérabilités dans Exim,2021-06-10,CVE-2021-27216; CVE-2020-28013; CVE-2020-28026; CVE-2020-28009; CVE-2020-28023; CVE-2020-28011; CVE-2020-28022; CVE-2020-28008; CVE-2020-28021; CVE-2020-28024; CVE-2020-28018; CVE-2020-28010; CVE-2020-28017; CVE-2020-28012; CVE-2020-28007; CVE-2020-28020; CVE-2020-28015; CVE-2020-28016; CVE-2020-28025; CVE-2020-28014; CVE-2020-28019,Exécution de code arbitraire à distance; Élévation de privilèges; Contournement de la politique de sécurité; Non spécifié par l'éditeur,"Le 5 mai 2021, Qualys a publié un bulletin de sécurité contenant 21
vulnérabilités affectant le serveur mail Exim. Quatre de ces
vulnérabilités permettent une élévation de privilège et trois une
exécution de code arbitraire. Ces vulnérabilités affectent toutes les
versions de Exim antérieures à 4.94 et permettent in fine à un attaquant non
authentifié de prendre le contrôle du serveur mail avec les privilèges du compte
root.",2021-05-05T02:00:00.000000,Exim N/A – Exim versions antérieures à 4.94
CERTFR-2021-ALE-009,[MàJ] Vulnérabilité dans Microsoft Windows,2021-06-10,CVE-2021-31166,Exécution de code arbitraire à distance,"\[version du 21 mai 2021\]

Le CERTFR a connaissance de l'existence de codes d'attaques publics
provoquant un déni de service sur l'équipement ciblé. Il est fortement
recommandé de mettre à jour les postes de travail et les serveurs
installés avec les versions du système d'exploitation affectées par
cette vulnérabilité.

\[version initiale\]

Le système d'exploitation Microsoft Windows propose un service de
gestion des requêtes HTTP sous la forme d'un pilote en mode noyau appelé
http.sys. Une vulnérabilité a été découverte dans ce pilote pour Windows
Server et Windows 10. Elle permet à un attaquant de provoquer une
exécution de code arbitraire à distance et l'éditeur considère qu'elle
peut être exploitée dans le cadre d'attaques à propagation de type ""ver
informatique"".

Le pilote http.sys est notamment utilisé par Microsoft IIS, le service
Windows Remote Management (WinRM) ainsi que le service SSDP. Il est donc
présent sur les serveurs mais également sur les postes de travail. Par
conséquent, le CERTFR recommande de considérer que l'ensemble des
machines utilisant une version de Windows affectée est vulnérable.

La vulnérabilité a été découverte par l'éditeur, cependant la
probabilité que des codes d'attaques soient mis au point rapidement est
très élevée.",2021-05-12T02:00:00.000000,Microsoft Windows – Windows 10 version 20H2 | Microsoft Windows – Windows Server version 2004 | Microsoft Windows – Windows Server version 20H2 | Microsoft Windows – Windows 10 version 2004
CERTFR-2021-ALE-010,Vulnérabilité dans Adobe Acrobat et Acrobat Reader,2021-06-29,CVE-2021-28550,Exécution de code arbitraire,"Une vulnérabilité a été découverte dans Adobe Acrobat et Acrobat Reader.
Elle permet à un attaquant de provoquer une exécution de code
arbitraire. L'éditeur indique que cette vulnérabilité aurait été
exploitée dans des attaques ciblées visant des utilisateurs d'Acrobat
Reader sur Windows.",2021-05-12T02:00:00.000000,
