reference,title,closed_at,cves,risks,summary,first_revision,affected_systems
CERTFR-2023-AVI-0001,Vulnérabilité dans Apache Tomcat,,CVE-2022-45143,Non spécifié par l'éditeur,"Une vulnérabilité a été découverte dans Apache Tomcat. Elle permet à un
attaquant de provoquer un problème de sécurité non spécifié par
l'éditeur.",2023-01-04T01:00:00.000000,Apache Tomcat – Apache Tomcat versions 9.x antérieures à 9.0.69 | Apache Tomcat – Apache Tomcat versions 8.x antérieures à 8.5.84
CERTFR-2023-AVI-0002,Multiples vulnérabilités dans les produits Fortinet,,CVE-2022-45857; CVE-2022-35845; CVE-2022-39947; CVE-2022-41336,Injection de code indirecte à distance (XSS); Exécution de code arbitraire à distance; Contournement de la politique de sécurité,"De multiples vulnérabilités ont été corrigées dans les produits Fortinet. Elles permettent à un
attaquant de provoquer une exécution de code arbitraire à distance, un
contournement de la politique de sécurité et une injection de code
indirecte à distance (XSS).",2023-01-04T01:00:00.000000,Fortinet FortiADC – FortiADC versions 7.x antérieures à 7.0.2 | Fortinet N/A – FortiTester versions 4.x antérieures à 4.2.1 | Fortinet N/A – FortiTester versions 7.1.x antérieures à 7.1.1 | Fortinet N/A – FortiTester versions 7.2.x antérieures à 7.2.0 | Fortinet FortiADC – FortiADC versions antérieures à 6.2.4 | Fortinet FortiPortal – FortiPortal versions antérieures à 6.0.12 | Fortinet N/A – FortiTester versions antérieures à 3.9.2 | Fortinet FortiWeb – FortiWeb versions antérieures à 7.0.3 | Fortinet FortiManager – FortiManager versions antérieures à 6.2.9 | Fortinet FortiManager – FortiManager versions antérieures à 6.4.8 | Fortinet FortiManager – FortiManager versions antérieures à 7.0.2
CERTFR-2023-AVI-0003,Multiples vulnérabilités dans les produits Android,,CVE-2022-22088; CVE-2022-42720; CVE-2022-44436; CVE-2022-33286; CVE-2022-33255; CVE-2022-44434; CVE-2022-20493; CVE-2023-20919; CVE-2023-20928; CVE-2022-44430; CVE-2023-20908; CVE-2022-33266; CVE-2022-20461; CVE-2023-20921; CVE-2022-33276; CVE-2022-20456; CVE-2021-35113; CVE-2022-20489; CVE-2023-20920; CVE-2022-33284; CVE-2022-20494; CVE-2023-20905; CVE-2022-32637; CVE-2023-20904; CVE-2022-44426; CVE-2022-25746; CVE-2021-35134; CVE-2022-42719; CVE-2022-20235; CVE-2023-20915; CVE-2022-20492; CVE-2022-44425; CVE-2022-33283; CVE-2023-20916; CVE-2022-33285; CVE-2022-44427; CVE-2022-32635; CVE-2022-42721; CVE-2021-35097; CVE-2022-44432; CVE-2022-44435; CVE-2022-25725; CVE-2022-23960; CVE-2022-20490; CVE-2023-20922; CVE-2023-20918; CVE-2022-2959; CVE-2022-33253; CVE-2022-33252; CVE-2022-44428; CVE-2022-44431; CVE-2022-44438; CVE-2023-20913; CVE-2023-20912; CVE-2022-33274; CVE-2022-44429; CVE-2022-41674; CVE-2022-44437; CVE-2022-32636,Déni de service à distance; Exécution de code arbitraire à distance; Non spécifié par l'éditeur; Atteinte à la confidentialité des données; Élévation de privilèges,"De multiples vulnérabilités ont été découvertes dans les produits
Android. Certaines d'entre elles permettent à un attaquant de provoquer
un problème de sécurité non spécifié par l'éditeur, une exécution de
code arbitraire à distance et un déni de service à distance.",2023-01-04T01:00:00.000000,"Google Android – Android 10, 11, 12, 12L, 13 sans le correctif de sécurité du 5 janvier 2023 | Google Android – Google Pixel sans le correctif de sécurité du 5 janvier 2023"
CERTFR-2023-AVI-0004,Multiples vulnérabilités dans IBM Sterling Global Mailbox,,CVE-2021-44521; CVE-2020-10663,Exécution de code arbitraire à distance; Contournement de la politique de sécurité,"De multiples vulnérabilités ont été découvertes dans IBM Sterling. Elles
permettent à un attaquant de provoquer une exécution de code arbitraire
à distance et un contournement de la politique de sécurité.",2023-01-04T01:00:00.000000,IBM Sterling – IBM Sterling Global Mailbox versions 6.0.x antérieures 6.1.2.1 | IBM Sterling – IBM Sterling Global Mailbox versions 6.1.x antérieures 6.1.2.1
CERTFR-2023-AVI-0005,Vulnérabilité dans Synology VPN Plus Server,,CVE-2022-43931,Exécution de code arbitraire à distance,"Une vulnérabilité a été découverte dans Synology VPN Plus Server. Elle
permet à un attaquant de provoquer une exécution de code arbitraire à
distance.",2023-01-04T01:00:00.000000,Synology SRM – VPN Plus Server pour SRM 1.3 versions antérieures à 1.4.4-0635 | Synology SRM – VPN Plus Server pour SRM 1.2 versions antérieures à 1.4.3-0534
CERTFR-2023-AVI-0006,Multiples vulnérabilités dans les produits Symantec,,CVE-2022-25630; CVE-2022-25628; CVE-2022-25629; CVE-2022-25627; CVE-2022-25626,Injection de code indirecte à distance (XSS); Exécution de code arbitraire à distance; Contournement de la politique de sécurité,"De multiples vulnérabilités ont été découvertes dans les produits
Symantec. Elles permettent à un attaquant de provoquer une exécution de
code arbitraire à distance, un contournement de la politique de sécurité
et une injection de code indirecte à distance (XSS).",2023-01-04T01:00:00.000000,Symantec N/A – Symantec Messaging Gateway versions 10.7.x antérieures à 10.8 | Symantec N/A – Symantec Identity Manager version 14.4.x antérieures à 14.4 CP1 sans le dernier correctif de sécurité | Symantec N/A – Symantec Identity Manager version 14.3.x antérieures à 14.3 CP3 sans le dernier correctif de sécurité
CERTFR-2023-AVI-0007,Multiples vulnérabilités dans IBM AIX et VIOS,,CVE-2022-40233; CVE-2022-43380; CVE-2022-41290; CVE-2022-39165; CVE-2022-39164; CVE-2022-43848; CVE-2022-43849,Déni de service; Élévation de privilèges,"De multiples vulnérabilités ont été découvertes dans IBM AIX et VIOS.
Elles permettent à un attaquant de provoquer un déni de service et une
élévation de privilèges.",2023-01-05T01:00:00.000000,"IBM VIOS – IBM VIOS versions 3.1.x ; Veuillez-vous référer aux avis de l'éditeur afin d'identifier le correctif adéquat. | IBM AIX – IBM AIX versions 7.1.x, 7.2.x et 7.3.x ; Veuillez-vous référer aux avis de l'éditeur afin d'identifier le correctif adéquat."
CERTFR-2023-AVI-0008,Multiples vulnérabilités dans les produits IBM,,CVE-2022-25647; CVE-2022-43381; CVE-2022-42004; CVE-2022-22483; CVE-2022-35637; CVE-2022-42003,Déni de service à distance; Atteinte à la confidentialité des données,"De multiples vulnérabilités ont été découvertes dans les produits IBM.
Elles permettent à un attaquant de provoquer un déni de service à
distance et une atteinte à la confidentialité des données.",2023-01-06T01:00:00.000000,IBM Sterling – IBM Sterling B2B Integrator version 6.1.2.0 antérieures à 6.1.2.1 | IBM Sterling Connect:Direct – IBM Sterling Connect:Direct Web Services versions 6.0.x antérieures à 6.0.0.12 | IBM AIX – AIX versions 7.2 sans le dernier correctif de sécurité (smbc_302_fileset_72) | IBM VIOS – VIOS versions 3.1 sans le dernier correctif de sécurité (smbc_302_fileset_72) | IBM AIX – AIX versions 7.1 sans le dernier correctif de sécurité (smbc_302_fileset_71) | IBM Sterling – IBM Sterling B2B Integrator versions 6.1.0.x antérieures à 6.1.0.6 | IBM Sterling Connect:Direct – IBM Sterling Connect:Direct Web Services versions 1.0.x antérieures à 6.0.0.12 | IBM Sterling Connect:Direct – IBM Sterling Connect:Direct Web Services versions 6.2.x antérieures à 6.2.0.12 | IBM Sterling – IBM Sterling B2B Integrator versions 6.0.x antérieures à 6.0.3.7 | IBM Sterling Connect:Direct – IBM Sterling Connect:Direct Web Services versions 6.1.x antérieures à 6.1.0.16 | IBM Sterling – IBM Sterling B2B Integrator versions 6.1.1.x antérieures à 6.1.1.3 | IBM Spectrum – IBM Spectrum Protect Server versions 8.1.x antérieures à 8.1.17 | IBM AIX – AIX versions 7.3 sans le dernier correctif de sécurité (smbc_302_fileset_72)
CERTFR-2023-AVI-0009,Multiples vulnérabilités dans PHP,,CVE-2022-31631,Non spécifié par l'éditeur,"De multiples vulnérabilités ont été découvertes dans PHP. Elles
permettent à un attaquant de provoquer un problème de sécurité non
spécifié par l'éditeur.",2023-01-06T01:00:00.000000,PHP PHP – PHP versions 8.1.x antérieures à 8.1.14 | PHP PHP – PHP versions 8.2.x antérieures à 8.2.1 | PHP PHP – PHP versions 8.0.x antérieures à 8.0.27
CERTFR-2023-AVI-0010,Multiples vulnérabilités dans le noyau Linux d'Ubuntu,,CVE-2022-42703; CVE-2022-3567; CVE-2022-3564; CVE-2022-3524; CVE-2022-43945; CVE-2022-3594; CVE-2022-33743; CVE-2022-3621; CVE-2022-3566; CVE-2022-26365,Déni de service à distance; Exécution de code arbitraire à distance; Non spécifié par l'éditeur; Atteinte à la confidentialité des données,"De multiples vulnérabilités ont été corrigées dans le noyau Linux d'Ubuntu. Certaines d'entre elles
permettent à un attaquant de provoquer un problème de sécurité non
spécifié par l'éditeur, une exécution de code arbitraire et un déni de
service.",2023-01-06T01:00:00.000000,Ubuntu Ubuntu – Ubuntu 20.04 LTS
