cve,description,cvss_score,cwe,cwe_description,epss_score,affected
CVE-2021-20016,A SQL-Injection vulnerability in the SonicWall SSLVPN SMA100 product allows a remote unauthenticated attacker to perform SQL query to access username password and other session related information. This vulnerability impacts SMA100 build version 10.x.,,CWE-89,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),0.804450000,SonicWall | SonicWall SMA100 | SMA100 build version 10.x
CVE-2014-6271,"GNU Bash through 4.3 processes trailing strings after function definitions in the values of environment variables, which allows remote attackers to execute arbitrary code via a crafted environment, as demonstrated by vectors involving the ForceCommand feature in OpenSSH sshd, the mod_cgi and mod_cgid modules in the Apache HTTP Server, scripts executed by unspecified DHCP clients, and other situations in which setting the environment occurs across a privilege boundary from Bash execution, aka ""ShellShock.""  NOTE: the original fix for this issue was incorrect; CVE-2014-7169 has been assigned to cover the vulnerability that is still present after the incorrect fix.",,Non disponible,n/a,0.942210000,n/a | n/a | n/a
CVE-2021-21148,Heap buffer overflow in V8 in Google Chrome prior to 88.0.4324.150 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.,,Non disponible,Heap buffer overflow,0.502920000,Google | Chrome | unspecified
CVE-2021-21972,"The vSphere Client (HTML5) contains a remote code execution vulnerability in a vCenter Server plugin. A malicious actor with network access to port 443 may exploit this issue to execute commands with unrestricted privileges on the underlying operating system that hosts vCenter Server. This affects VMware vCenter Server (7.x before 7.0 U1c, 6.7 before 6.7 U3l and 6.5 before 6.5 U3n) and VMware Cloud Foundation (4.x before 4.2 and 3.x before 3.10.1.2).",,Non disponible,Remote code execution vulnerability,0.937380000,"n/a | VMware vCenter Server | 7.x before 7.0 U1c, 6.7 before 6.7 U3l, 6.5 before 6.5 U3n || n/a | VMware Cloud Foundation | 4.x before 4.2, 3.x before 3.10.1.2"
CVE-2021-26858,Microsoft Exchange Server Remote Code Execution Vulnerability,7.8,Non disponible,Remote Code Execution,,Microsoft | Microsoft Exchange Server 2019 | 15.02.0 || Microsoft | Microsoft Exchange Server 2013 Cumulative Update 22 | 15.00.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 2 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 13 | 15.01.0 || Microsoft | Microsoft Exchange Server 2013 Cumulative Update 23 | 15.00.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 3 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 14 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 4 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 15 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 5 | 15.02.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 6 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 16 | 15.01.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 17 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 7 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 18 | 15.01.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 19 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 8 | 15.02.0 || Microsoft | Microsoft Exchange Server 2013 Cumulative Update 21 | 15.00.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 12 | 15.01.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 8 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 1 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 9 | 15.01.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 10 | 15.01.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 11 | 15.01.0
CVE-2021-27078,Microsoft Exchange Server Remote Code Execution Vulnerability,9.1,Non disponible,Remote Code Execution,0.469780000,Microsoft | Microsoft Exchange Server 2016 Cumulative Update 19 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 8 | 15.02.0 || Microsoft | Microsoft Exchange Server 2013 Cumulative Update 23 | 15.00.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 7 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 18 | 15.01.0
CVE-2021-26857,Microsoft Exchange Server Remote Code Execution Vulnerability,7.8,Non disponible,Remote Code Execution,0.069880000,Microsoft | Microsoft Exchange Server 2016 Cumulative Update 19 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 8 | 15.02.0 || Microsoft | Microsoft Exchange Server 2019 | 15.02.0 || Microsoft | Microsoft Exchange Server 2013 Cumulative Update 22 | 15.00.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 2 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 13 | 15.01.0 || Microsoft | Microsoft Exchange Server 2013 Cumulative Update 23 | 15.00.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 3 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 14 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 4 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 15 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 5 | 15.02.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 6 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 16 | 15.01.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 17 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 7 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 18 | 15.01.0 || Microsoft | Microsoft Exchange Server 2010 Service Pack 3 | 14.0.0.0 || Microsoft | Microsoft Exchange Server 2013 Service Pack 1 | 15.00.0 || Microsoft | Microsoft Exchange Server 2013 Cumulative Update 21 | 15.00.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 12 | 15.01.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 8 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 1 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 9 | 15.01.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 10 | 15.01.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 11 | 15.01.0
CVE-2021-26855,Microsoft Exchange Server Remote Code Execution Vulnerability,9.1,Non disponible,Remote Code Execution,0.943740000,Microsoft | Microsoft Exchange Server 2016 Cumulative Update 19 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 8 | 15.02.0 || Microsoft | Microsoft Exchange Server 2019 | 15.02.0 || Microsoft | Microsoft Exchange Server 2013 Cumulative Update 22 | 15.00.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 2 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 13 | 15.01.0 || Microsoft | Microsoft Exchange Server 2013 Cumulative Update 23 | 15.00.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 3 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 14 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 4 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 15 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 5 | 15.02.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 6 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 16 | 15.01.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 17 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 7 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 18 | 15.01.0 || Microsoft | Microsoft Exchange Server 2013 Cumulative Update 21 | 15.00.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 12 | 15.01.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 8 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 1 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 9 | 15.01.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 10 | 15.01.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 11 | 15.01.0
CVE-2021-27065,Microsoft Exchange Server Remote Code Execution Vulnerability,7.8,Non disponible,Remote Code Execution,0.941740000,Microsoft | Microsoft Exchange Server 2019 | 15.02.0 || Microsoft | Microsoft Exchange Server 2013 Cumulative Update 22 | 15.00.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 2 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 13 | 15.01.0 || Microsoft | Microsoft Exchange Server 2013 Cumulative Update 23 | 15.00.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 3 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 14 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 4 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 15 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 5 | 15.02.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 6 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 16 | 15.01.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 17 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 7 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 18 | 15.01.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 19 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 8 | 15.02.0 || Microsoft | Microsoft Exchange Server 2013 Service Pack 1 | 15.00.0 || Microsoft | Microsoft Exchange Server 2013 Cumulative Update 21 | 15.00.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 12 | 15.01.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 8 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 1 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 9 | 15.01.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 10 | 15.01.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 11 | 15.01.0
CVE-2021-26412,Microsoft Exchange Server Remote Code Execution Vulnerability,9.1,Non disponible,Remote Code Execution,0.374100000,Microsoft | Microsoft Exchange Server 2013 Cumulative Update 23 | 15.00.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 7 | 15.02.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 18 | 15.01.0 || Microsoft | Microsoft Exchange Server 2016 Cumulative Update 19 | 15.01.0 || Microsoft | Microsoft Exchange Server 2019 Cumulative Update 8 | 15.02.0
