CVE,CVSS Score,Base Severity,EPSS Score,CWE,CWE Description,Éditeur,Produit,Versions affectées,Description
CVE-2021-20016,,Non défini,0.8044,CWE-89,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),SonicWall,SonicWall SMA100,SMA100 build version 10.x,A SQL-Injection vulnerability in the SonicWall SSLVPN SMA100 product allows a remote unauthenticated attacker to perform SQL query to access username password and other session related information. This vulnerability impacts SMA100 build version 10.x.
CVE-2014-6271,,Non défini,0.9422,Non disponible,,n/a,n/a,n/a,"GNU Bash through 4.3 processes trailing strings after function definitions in the values of environment variables, which allows remote attackers to execute arbitrary code via a crafted environment, as demonstrated by vectors involving the ForceCommand feature in OpenSSH sshd, the mod_cgi and mod_cgid modules in the Apache HTTP Server, scripts executed by unspecified DHCP clients, and other situations in which setting the environment occurs across a privilege boundary from Bash execution, aka ""ShellShock.""  NOTE: the original fix for this issue was incorrect; CVE-2014-7169 has been assigned to cover the vulnerability that is still present after the incorrect fix."
CVE-2021-21148,,Non défini,0.5029,Non disponible,Heap buffer overflow,Google,Chrome,unspecified,Heap buffer overflow in V8 in Google Chrome prior to 88.0.4324.150 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.
CVE-2021-21972,,Non défini,0.9374,Non disponible,Remote code execution vulnerability,n/a,VMware vCenter Server,"7.x before 7.0 U1c, 6.7 before 6.7 U3l, 6.5 before 6.5 U3n","The vSphere Client (HTML5) contains a remote code execution vulnerability in a vCenter Server plugin. A malicious actor with network access to port 443 may exploit this issue to execute commands with unrestricted privileges on the underlying operating system that hosts vCenter Server. This affects VMware vCenter Server (7.x before 7.0 U1c, 6.7 before 6.7 U3l and 6.5 before 6.5 U3n) and VMware Cloud Foundation (4.x before 4.2 and 3.x before 3.10.1.2)."
CVE-2021-26858,7.8,Élevée,,Non disponible,Remote Code Execution,Microsoft,Microsoft Exchange Server 2019,15.02.0,Microsoft Exchange Server Remote Code Execution Vulnerability
CVE-2021-27078,9.1,Critique,0.4698,Non disponible,Remote Code Execution,Microsoft,Microsoft Exchange Server 2016 Cumulative Update 19,15.01.0,Microsoft Exchange Server Remote Code Execution Vulnerability
CVE-2021-26857,7.8,Élevée,0.0699,Non disponible,Remote Code Execution,Microsoft,Microsoft Exchange Server 2016 Cumulative Update 19,15.01.0,Microsoft Exchange Server Remote Code Execution Vulnerability
CVE-2021-26855,9.1,Critique,0.9437,Non disponible,Remote Code Execution,Microsoft,Microsoft Exchange Server 2016 Cumulative Update 19,15.01.0,Microsoft Exchange Server Remote Code Execution Vulnerability
CVE-2021-27065,7.8,Élevée,0.9417,Non disponible,Remote Code Execution,Microsoft,Microsoft Exchange Server 2019,15.02.0,Microsoft Exchange Server Remote Code Execution Vulnerability
CVE-2021-26412,9.1,Critique,0.3741,Non disponible,Remote Code Execution,Microsoft,Microsoft Exchange Server 2013 Cumulative Update 23,15.00.0,Microsoft Exchange Server Remote Code Execution Vulnerability
CVE-2021-26854,6.6,Moyenne,0.1614,Non disponible,Remote Code Execution,Microsoft,Microsoft Exchange Server 2016 Cumulative Update 19,15.01.0,Microsoft Exchange Server Remote Code Execution Vulnerability
CVE-2021-26893,9.8,Critique,0.0831,Non disponible,Remote Code Execution,Microsoft,Windows Server 2019,10.0.0,Windows DNS Server Remote Code Execution Vulnerability
CVE-2021-26897,9.8,Critique,0.1079,Non disponible,Remote Code Execution,Microsoft,Windows Server version 20H2,10.0.0,Windows DNS Server Remote Code Execution Vulnerability
CVE-2021-26894,9.8,Critique,0.0993,Non disponible,Remote Code Execution,Microsoft,Windows Server 2019,10.0.0,Windows DNS Server Remote Code Execution Vulnerability
CVE-2021-26877,9.8,Critique,0.0877,Non disponible,Remote Code Execution,Microsoft,Windows Server version 20H2,10.0.0,Windows DNS Server Remote Code Execution Vulnerability
CVE-2021-26895,9.8,Critique,0.0993,Non disponible,Remote Code Execution,Microsoft,Windows Server 2019,10.0.0,Windows DNS Server Remote Code Execution Vulnerability
CVE-2021-22986,,Non défini,0.9448,Non disponible,Remote Command Execution,n/a,BIG-IP; BIG-IQ,"BIG-IP 16.0.x before 16.0.1.1, 15.1.x before 15.1.2.1, 14.1.x before 14.1.4, 13.1.x before 13.1.3.6, 12.1.x before 12.1.5.3, BIG-IQ 7.1.0.x before 7.1.0.3, 7.0.0.x before 7.0.0.2","On BIG-IP versions 16.0.x before 16.0.1.1, 15.1.x before 15.1.2.1, 14.1.x before 14.1.4, 13.1.x before 13.1.3.6, and 12.1.x before 12.1.5.3 amd BIG-IQ 7.1.0.x before 7.1.0.3 and 7.0.0.x before 7.0.0.2, the iControl REST interface has an unauthenticated remote command execution vulnerability. Note: Software versions which have reached End of Software Development (EoSD) are not evaluated."
